역명,호선,위도,경도,시청과의거리,주소
신설동,2호선,37.574653,127.025158,4.234361447528835,"천호대로, 신설동, 용신동, 동대문구, 서울, 02582, 대한민국"
도림천,2호선,37.514759,126.882586,10.211932081871588,"도림천 자전거길, 신도림동, 구로구, 서울, 08201, 대한민국"
양천구청,2호선,37.512194,126.865193,11.656073379946934,"목동로3길, 신정7동, 양천구, 서울, 08102, 대한민국"
신정네거리,2호선,37.520218,126.852849,12.195437558872928,"신정네거리, 261, 중앙로, 신정1동, 양천구, 서울, 08077, 대한민국"
용두(동대문구청),2호선,37.574012,127.03811,5.343961282492837,"천호대로, 용두동, 용신동, 동대문구, 서울, 02567, 대한민국"
지축,3호선,37.648281,126.912551,10.76891244882582,"안진1길, 효자동, 덕양구, 고양시, 경기도, 10585, 대한민국"
구파발,3호선,37.636612,126.918827,9.3805248631548,"서울주택도시공사 은평서대문종로센터, 15-34, 진관2로, 진관동, 은평구, 서울, 03306, 대한민국"
연신내,3호선,37.618855,126.920859,7.701225658086323,"갈현1동, 은평구, 서울, 03350, 대한민국"
불광,3호선,37.610554,126.929843,6.485459658308227,"통일로, 대조동, 은평구, 서울, 03397, 대한민국"
녹번,3호선,37.600882,126.935758,5.3416548327502,"통일로, 녹번동, 은평구, 서울, 03370, 대한민국"
홍제,3호선,37.588851,126.944092,3.8944248206195886,"통일로, 홍제1동, 서대문구, 서울, 03646, 대한민국"
무악재,3호선,37.582658,126.950131,3.0520420768892547,"통일로, 홍제1동, 서대문구, 서울, 03635, 대한민국"
독립문,3호선,37.574534,126.957902,1.9956773543089652,"독립문, 통일로, 무악동, 종로구, 서울, 03023, 대한민국"
경복궁(정부서울청사),3호선,37.575844,126.973576,1.107389554854161,"경복궁, 130, 사직로, 적선동, 서울 도심, 사직동, 종로구, 서울, 03170, 대한민국"
안국,3호선,37.576562,126.98547,1.2809468439075185,"서울 한양도성, 선잠로2다길, 성북동1가, 성북동, 성북구, 서울, 02880, 대한민국"
종로3가,3호선,37.571537,126.991237,1.273839942613808,"서울 한양도성, 선잠로2다길, 성북동1가, 성북동, 성북구, 서울, 02880, 대한민국"
을지로3가,3호선,37.566299,126.992616,1.2706670114062901,"을지로3가, 106, 을지로, 수표동, 을지로동, 중구, 서울, 04551, 대한민국"
충무로,3호선,37.561302,126.995473,1.6315595679303143,"토픽빌딩, 212, 퇴계로, 필동2가, 필동, 중구, 서울, 04625, 대한민국"
동대입구,3호선,37.55816,127.005273,2.563296538646851,"동대입구역장충동, 장충단로, 장충동1가, 장충동, 중구, 서울, 04605, 대한민국"
약수,3호선,37.554674,127.010628,3.1500129982281972,"동호로, 약수동, 중구, 서울, 04598, 대한민국"
금호,3호선,37.548269,127.015785,3.888738802198376,"장터길, 금호동3가, 금호2·3가동, 성동구, 서울, 04724, 대한민국"
옥수,3호선,37.541653,127.017303,4.423304253403185,"동호로, 옥수동, 성동구, 서울, 04734, 대한민국"
압구정,3호선,37.526169,127.028502,6.3135223552730775,"압구정, 논현로, 가로수길, 신사동, 강남구, 서울, 06001, 대한민국"
신사,3호선,37.516438,127.020247,6.695807033388564,"도산대로, 가로수길, 신사동, 강남구, 서울, 06035, 대한민국"
잠원,3호선,37.512989,127.011613,6.647870123678597,"잠원로4길, 잠원동, 서초구, 서울, 06510, 대한민국"
고속터미널,3호선,37.504953,127.004916,7.246639918693456,"고속터미널, 신반포로, 반포4동, 서초구, 서울, 06545, 대한민국"
교대(법원·검찰청),3호선,37.49306,127.013796,8.7573746377045,"르미엘커피, 119, 서초중앙로, 서초3동, 서초구, 서울, 06634, 대한민국"
남부터미널(예술의전당),3호선,37.48494,127.016289,9.679874597675491,"남부터미널(예술의전당), 서초중앙로, 서초3동, 서초구, 서울, 06718, 대한민국"
양재(서초구청),3호선,37.48466,127.03513,10.401335820968235,"남부순환로, 도곡동, 도곡1동, 강남구, 서울, 06267, 대한민국"
매봉,3호선,37.487114,127.046907,10.714274670956536,"남부순환로, 도곡동, 도곡1동, 강남구, 서울, 06274, 대한민국"
도곡,3호선,37.491129,127.055694,10.820906600799502,"남부순환로, 대치1동, 강남구, 서울, 06289, 대한민국"
대치,3호선,37.494601,127.063449,10.980601847611664,"남부순환로, 대치동, 대치2동, 강남구, 서울, 06228, 대한민국"
학여울,3호선,37.496757,127.070541,11.250971638263195,"SK에너지 대치동주유소, 202, 남부순환로, 대치동, 대치2동, 강남구, 서울, 06286, 대한민국"
대청,3호선,37.493607,127.079526,12.069777585541784,"개포로, 개포3동, 강남구, 서울, 06335, 대한민국"
일원,3호선,37.48389,127.08416,13.109659644237228,"삼성생명 일원역 빌딩, 115, 일원로, 일원동, 일원본동, 강남구, 서울, 06355, 대한민국"
수서,3호선,37.487507,127.101324,13.971423859359636,"밤고개로, 수서동, 강남구, 서울, 06367, 대한민국"
가락시장,3호선,37.492368,127.118101,14.842256805575726,"펫가든동물병원, 80, 중대로, 가락1동, 송파구, 서울, 05833, 대한민국"
경찰병원,3호선,37.495754,127.124198,15.09194708755193,"중대로, 가락동, 가락2동, 송파구, 서울, 05661, 대한민국"
오금,3호선,37.502288,127.128344,15.04598072251431,"자전거 전용, 오금동, 가락본동, 송파구, 서울, 05824, 대한민국"
남태령,4호선,37.464339,126.989081,11.409667363366875,"남태령, 과천대로, 방배2동, 서초구, 서울, 06701, 대한민국"
사당,4호선,37.476563,126.981746,10.014887996773524,"사당고가차도, 방배2동, 서초구, 서울, 06693, 대한민국"
총신대입구(이수),4호선,37.487521,126.982309,8.798989335949209,"총신대입구역.남성사계시장입구앞(중), 동작대로, 방배본동, 서초구, 서울, 06568, 대한민국"
동작(현충원),4호선,37.503567,126.980171,7.009449258834723,"동작동, 사당2동, 동작구, 서울, 06994, 대한민국"
이촌(국립중앙박물관),4호선,37.522525,126.97335,4.917919944044549,"1, 이촌로65가길, 이촌동, 이촌1동, 용산구, 서울, 04386, 대한민국"
신용산,4호선,37.52919,126.96858,4.24382701186121,"아모레퍼시픽 본사, 한강대로, 한강로2가, 한강로동, 용산구, 서울, 04386, 대한민국"
삼각지,4호선,37.535057,126.973354,3.5317437464410015,"우우, 175, 한강대로, 한강로1가, 한강로동, 용산구, 서울, 04375, 대한민국"
숙대입구(갈월),4호선,37.545124,126.971952,2.449177275142251,"숙대입구, 두텁바위로, 동자동, 갈월동, 남영동, 용산구, 서울, 04321, 대한민국"
서울역,4호선,37.553172,126.972836,1.564722645342368,"한강대로, 동자동, 남영동, 용산구, 서울, 04320, 대한민국"
회현(남대문시장),4호선,37.559698,126.979565,0.775153215616271,"레스케이프 호텔, 퇴계로, 남창동, 봉래동2가, 회현동, 중구, 서울, 04634, 대한민국"
명동,4호선,37.561055,126.988271,1.0795814142362432,"퇴계로, 남산동3가, 필동, 중구, 서울, 04629, 대한민국"
충무로,4호선,37.561302,126.995473,1.6315595679303143,"토픽빌딩, 212, 퇴계로, 필동2가, 필동, 중구, 서울, 04625, 대한민국"
동대문역사문화공원,4호선,37.565141,127.008458,2.671408921063627,"에이피엠 플레이스, 퇴계로63길, 을지로7가, 광희동, 중구, 서울, 04566, 대한민국"
동대문,4호선,37.57099,127.008835,2.7437733521806655,"종로 자전거 전용로, 종로5가, 종로5·6가동, 종로구, 서울, 03126, 대한민국"
