역명,호선,위도,경도,시청과의거리
태릉입구,7호선,37.617319,127.074741,10.206480446189468
먹골,7호선,37.610638,127.077719,10.043982627738911
중화,7호선,37.602604,127.079254,9.763524678495395
상봉(시외버스터미널),7호선,37.595673,127.085708,10.01032060960733
면목,7호선,37.588671,127.087503,9.940162644518463
사가정,7호선,37.580912,127.088502,9.850234423693333
용마산,7호선,37.573752,127.086802,9.60431539720477
중곡,7호선,37.565877,127.084291,9.350716962123654
군자(능동),7호선,37.557151,127.079484,8.988649100067333
어린이대공원(세종대),7호선,37.547962,127.07465,8.75022665785276
건대입구,7호선,37.540882,127.071103,8.673784666770779
뚝섬유원지,7호선,37.531558,127.066714,8.721015087669883
청담,7호선,37.519097,127.051851,8.36927588531349
강남구청,7호선,37.517185,127.04122,7.812968691254478
학동,7호선,37.514262,127.031738,7.4919283988581045
논현,7호선,37.511108,127.021385,7.249112580918552
반포,7호선,37.508171,127.011717,7.135926961166786
고속터미널,7호선,37.503387,127.005055,7.415445120674741
내방,7호선,37.48764,126.993541,8.881888986058808
총신대입구(이수),7호선,37.485258,126.981766,9.048627940069604
남성,7호선,37.484688,126.971108,9.128028597342261
숭실대입구(살피재),7호선,37.496258,126.953649,8.11425210646558
상도,7호선,37.50279,126.947949,7.578751178681777
장승배기,7호선,37.504845,126.939025,7.685378349943089
신대방삼거리,7호선,37.499717,126.928218,8.643639125036106
보라매,7호선,37.499916,126.920112,9.010862344665531
신풍,7호선,37.500107,126.909806,9.5402833202074
대림(구로구청),7호선,37.492984,126.896997,10.874672688214183
남구로,7호선,37.486181,126.887372,12.003938584191959
가산디지털단지,7호선,37.480376,126.882704,12.760207391678826
철산,7호선,37.47616,126.868217,13.97097125652394
광명사거리,7호선,37.47927,126.854854,14.58081433873054
천왕,7호선,37.486699,126.838684,15.175167457186307
온수(성공회대입구),7호선,37.492059,126.823294,15.977396459374246
암사,8호선,37.550127,127.127521,13.288628520601584
천호(풍납토성),8호선,37.53792,127.123179,13.171794984991736
강동구청,8호선,37.530348,127.120461,13.172752823791074
몽촌토성(평화의문),8호선,37.517692,127.11274,13.048246935646645
잠실(송파구청),8호선,37.514649,127.104267,12.525622815546187
석촌,8호선,37.505396,127.106995,13.23836173568498
송파,8호선,37.49978,127.11212,13.950630858379883
가락시장,8호선,37.493004,127.118279,14.81609141488831
문정,8호선,37.485931,127.122473,15.565778202586499
장지,8호선,37.478609,127.126229,16.313010725381496
복정,8호선,37.471016,127.126746,16.868785841026664
산성,8호선,37.456886,127.149927,19.4475728509021
남한산성입구(성남법원·검찰청),8호선,37.451568,127.159845,20.500434125705194
단대오거리,8호선,37.445057,127.156735,20.75131962274335
